step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.330502182033342,0,0.0,0.966388750265512,0,0.0,0.9692358333300972,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9601947506196856,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9615335918171104,0,0.0,0.9650784220009931,0,0.0,0.9644287070111706,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.966000890897555,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.42077842561449,0,0.0,0.939796611202829,0,0.0,0.9575547692803177,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9481970527916203,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9579463477182513,0,0.0,0.9549114657493945,0,0.0,0.8568764751001513,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8847366275212445,0,0.0,1.0,0,0.0
15.0,3,3.0,0.075,11.663409937060052,1,1.0,0.7166260786932689,0,0.0,0.9499691933656734,0,0.0,1.0,0,0.0,1.0,0,0.0,0.799912574922039,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9379055570877128,0,0.0,0.9311127362026815,1,1.0,0.7201512688640481,0,0.0,0.9481644947413976,0,0.0,0.9330244708700104,0,0.0,0.9487179665586796,1,1.0,0.608047574332231,0,0.0,1.0,3,3.0
20.0,7,24.0,0.42857142857142855,10.722459394636823,0,0.0,0.8585762375759163,0,2.0,0.7726745656513406,0,0.0,1.0,0,0.0,1.0,3,7.0,0.4579035659207892,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9447145951243314,0,0.0,0.9616339125344986,2,8.0,0.6497071726537749,0,0.0,0.9512095839056965,0,0.0,0.9609154985320759,0,0.0,0.945066872636374,2,9.0,0.3985306271677631,0,0.0,1.0,7,26.0
25.0,13,77.0,1.0694444444444444,10.31555879634286,0,0.0,0.7682832809910254,0,2.0,0.9113430622067168,0,0.0,0.9894084889238326,0,0.0,0.9494224444694093,4,26.0,0.3615177577025327,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9709602883367254,0,0.0,0.9591693455833502,4,24.0,0.4755124502359638,0,0.0,0.9577805057081593,0,0.0,0.9471402111508264,0,0.0,0.9223842774725567,5,27.0,0.44327668253008534,0,0.0,0.9511131758588742,13,79.0
30.0,21,162.0,2.025,8.741060431245282,1,2.0,0.6837699921523598,0,2.0,0.881319251795849,0,0.0,0.9800190626850845,0,0.0,0.9719948384033341,6,55.0,0.274444253256893,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9589247527854651,0,0.0,0.9639844511610773,7,52.0,0.2873520381400562,0,0.0,0.9129009889102875,0,0.0,0.6057740770002743,0,0.0,0.9391237397087404,7,55.0,0.36396755613630677,0,0.0,0.9559111198366145,21,166.0
35.0,28,286.0,2.9791666666666665,8.23239912365698,3,11.0,0.6587766445871913,1,4.0,0.49702388781768797,0,1.0,0.4642770931101353,0,0.0,0.9478227088119247,8,93.0,0.2973789878588518,0,0.0,0.9668368357045996,0,0.0,0.980941998420469,0,0.0,0.9154958051760747,0,0.0,0.9488885003374754,0,0.0,0.9539130500280285,8,89.0,0.4100674943467739,0,0.0,0.9252069028435046,0,1.0,0.6539974112583243,0,0.0,0.9948924743634175,8,93.0,0.2832112007695909,0,0.0,0.8999442056531645,28,292.0
40.0,39,459.0,4.098214285714286,8.37116135029474,4,29.0,0.5980870706278413,5,23.0,0.42408918992307654,0,1.0,0.8761429390365606,0,0.0,0.9525463337210154,10,139.0,0.2929925224543041,0,0.0,0.9653910234004835,0,0.0,1.0,0,0.0,0.9157304304296765,0,0.0,0.9736103967984646,0,0.0,0.9897637805280928,10,134.0,0.44982451554450487,0,0.0,0.9591874273177274,0,0.0,0.9509990891447057,0,0.0,0.9416425072854148,10,138.0,0.20130360059104527,0,0.0,0.8807935727404264,39,464.0
45.0,47,679.0,5.658333333333333,7.713797011888044,6,55.0,0.4441071064887102,5,48.0,0.36145588282476937,0,0.0,0.9177266091878735,0,0.0,0.9493258401079366,12,195.0,0.18062279036856432,0,0.0,0.9551774033783497,0,0.0,1.0,0,0.0,0.968671668197687,0,0.0,0.9581035268477599,0,0.0,0.7660284042139058,12,188.0,0.3208593739493536,0,0.0,0.95719778903035,0,0.0,0.9607713722334883,0,0.0,0.9616276001793667,12,195.0,0.3179557636413793,0,0.0,1.0,47,681.0
50.0,57,944.0,7.097744360902255,7.349135869833759,8,91.0,0.4207381938727434,5,73.0,0.3508432033559069,0,0.0,0.9528082697640261,0,0.0,0.961070851085765,14,263.0,0.15256904814446104,0,0.0,0.8868587762194007,0,0.0,0.9250106795974518,0,0.0,0.942800211455051,0,0.0,0.9515259323232232,2,5.0,0.5068707357834347,14,253.0,0.2889643809672717,0,0.0,0.9591199550936887,0,0.0,0.9554487349113678,0,0.0,1.0,14,261.0,0.33197551596799557,0,0.0,0.9344737777592725,57,946.0
